poly_id:ID,:LABEL,source_db,source_record_id,name,raw_representation,canonical_representation,mw_or_range_raw,branching_raw
dolphin::33632,Polysaccharide,DoLPHiN,33632,BSP1A,"BSP1A | α-Glcp-(1→6); β-Galp-(1→6) | It may be mainly composed of β-1,6-glucopyranose as the main chain, with a small amount of galactopyranose and arabinose connected by 1,6-glycosidic bonds. | No relevant information could be found in the literature. | glucose 80.72%; galactose 17.3%; arabinose 1.99%","BSP1A | α-Glcp-(1→6); β-Galp-(1→6) | It may be mainly composed of β-1,6-glucopyranose as the main chain, with a small amount of galactopyranose and arabinose connected by 1,6-glycosidic bonds. | No relevant information could be found in the literature. | glucose 80.72%; galactose 17.3%; arabinose 1.99%",10.2kDa,No relevant information could be found in the literature.
dolphin::33633,Polysaccharide,DoLPHiN,33633,BSP2A,BSP2A | β-Glcp-(1→6); β-Araf-(1→3) | Mainly connected by →5)β - Ara (1→ and →3)β - Gal (1→. There may be other glycosidic bond connections. | No relevant information could be found in the literature. | glucose 23.42%; galactose 46.85%; arabinose 29.73%,BSP2A | β-Glcp-(1→6); β-Araf-(1→3) | Mainly connected by →5)β - Ara (1→ and →3)β - Gal (1→. There may be other glycosidic bond connections. | No relevant information could be found in the literature. | glucose 23.42%; galactose 46.85%; arabinose 29.73%,17kDa,No relevant information could be found in the literature.
dolphin::33634,Polysaccharide,DoLPHiN,33634,BSP3B,"BSP3B | β-Glcp-(1→3); β-Galp-(1→3) | Mainly connected by →3)β-Glu(1→ and →3)β-Gal(1→, and there may be a small amount of other glycosidic bond connections. | No relevant information could be found in the literature. | glucose 19.8%; galactose 43.2%; xylose 3.9%; arabinose 33.07%","BSP3B | β-Glcp-(1→3); β-Galp-(1→3) | Mainly connected by →3)β-Glu(1→ and →3)β-Gal(1→, and there may be a small amount of other glycosidic bond connections. | No relevant information could be found in the literature. | glucose 19.8%; galactose 43.2%; xylose 3.9%; arabinose 33.07%",20kDa,No relevant information could be found in the literature.
dolphin::33635,Polysaccharide,DoLPHiN,33635,agarose,"agarose | The main chain is composed of L-galactose (3,6-anhydro form) and D-galactose units connected by β-1,4 glycosidic bonds. | No relevant information could be found in the literature. | glucuronic acid Exist (No specific proportion could be found in the literature)","agarose | The main chain is composed of L-galactose (3,6-anhydro form) and D-galactose units connected by β-1,4 glycosidic bonds. | No relevant information could be found in the literature. | glucuronic acid Exist (No specific proportion could be found in the literature)",,No relevant information could be found in the literature.
dolphin::33636,Polysaccharide,DoLPHiN,33636,carrageenan,"carrageenan | α-Galp-(1→3); β-Galp-(1→4) | The main chain is alternately connected by α-1,3 and β-1,4 glycosidic bonds of D-galactose. There is sulfated modification at the C4 position of some D-galactose, and it contains 3,6-anhydro-D-galactose units. | Sulfate ester groups and other modifications are attached to galactose units. | glucuronic acid Exist (No specific proportion could be found in the literature)","carrageenan | α-Galp-(1→3); β-Galp-(1→4) | The main chain is alternately connected by α-1,3 and β-1,4 glycosidic bonds of D-galactose. There is sulfated modification at the C4 position of some D-galactose, and it contains 3,6-anhydro-D-galactose units. | Sulfate ester groups and other modifications are attached to galactose units. | glucuronic acid Exist (No specific proportion could be found in the literature)",,Sulfate ester groups and other modifications are attached to galactose units.
dolphin::33637,Polysaccharide,DoLPHiN,33637,alginate,"alginate | α-ManA-(1→4) | The main chain is composed of D-mannuronic acid and α-L-guluronic acid units connected by β-1,4 glycosidic bonds, which can form homopolymeric or heteropolymeric chain segment structures. | No relevant information could be found in the literature. | glucuronic acid Exist (No specific proportion could be found in the literature)","alginate | α-ManA-(1→4) | The main chain is composed of D-mannuronic acid and α-L-guluronic acid units connected by β-1,4 glycosidic bonds, which can form homopolymeric or heteropolymeric chain segment structures. | No relevant information could be found in the literature. | glucuronic acid Exist (No specific proportion could be found in the literature)",,No relevant information could be found in the literature.
dolphin::33638,Polysaccharide,DoLPHiN,33638,porphyran,"porphyran | β-Galp-(1→4) | The main chain is composed of L-galactose (sulfated form) and D-galactose units connected by β-1,4 glycosidic bonds. | The sulfate group is modified on the L-galactose unit. | glucuronic acid Exist (No specific proportion could be found in the literature)","porphyran | β-Galp-(1→4) | The main chain is composed of L-galactose (sulfated form) and D-galactose units connected by β-1,4 glycosidic bonds. | The sulfate group is modified on the L-galactose unit. | glucuronic acid Exist (No specific proportion could be found in the literature)",,The sulfate group is modified on the L-galactose unit.
dolphin::33639,Polysaccharide,DoLPHiN,33639,GSP,"GSP | α-GalpA-(1→2) | With 4-α-D-galacturonic acid (4-α-D-GalpA) as the main chain structural unit, it also contains a small amount of 4) -α-D-GalpA- (1,2) -α-L-Rhap- (1 - as the repeating unit rhamnogalacturonan I structural backbone | There are branched structures such as arabinan, galactan or arabinogalactan. The specific connection mode and sequence are partially undetermined and need further research. It contains acetyl modification on 4-α-D-GalpA. | glucose 47.06%; galactose 47.06%; rhamnose 5.88%","GSP | α-GalpA-(1→2) | With 4-α-D-galacturonic acid (4-α-D-GalpA) as the main chain structural unit, it also contains a small amount of 4) -α-D-GalpA- (1,2) -α-L-Rhap- (1 - as the repeating unit rhamnogalacturonan I structural backbone | There are branched structures such as arabinan, galactan or arabinogalactan. The specific connection mode and sequence are partially undetermined and need further research. It contains acetyl modification on 4-α-D-GalpA. | glucose 47.06%; galactose 47.06%; rhamnose 5.88%",85.4kDa,"There are branched structures such as arabinan, galactan or arabinogalactan. The specific connection mode and sequence are partially undetermined and need further research. It contains acetyl modification on 4-α-D-GalpA."
dolphin::33640,Polysaccharide,DoLPHiN,33640,UM01 PS,"UM01 PS | α-Glcp-(1→6) | It is speculated that there is a (1→6)-α-D-glucoside bond, but the main chain structure has not been completely determined. Further separation and purification research is needed. | No relevant information could be found in the literature. | glucose 56.82%; mannose 33.52%; galactose 9.66%","UM01 PS | α-Glcp-(1→6) | It is speculated that there is a (1→6)-α-D-glucoside bond, but the main chain structure has not been completely determined. Further separation and purification research is needed. | No relevant information could be found in the literature. | glucose 56.82%; mannose 33.52%; galactose 9.66%",,No relevant information could be found in the literature.
dolphin::33641,Polysaccharide,DoLPHiN,33641,PV - P1,"PV - P1 | β-Araf-(1→3); β-Xylf-(1→6); α-Glcp-(1→3); β-Galp-(1→4,6); α-Glcp-(1→3,6) | Mainly composed of → 5) -Araf- (1 →, → 3) -Xylf- (1 → and → 6) -Glcp- (1 → residues, there are also terminal mannose groups, terminal galactose groups, → 3) -Galp- (1 →, → 4,6) -Glcp- (1 → and → 3,6) -Galp- (1 → residues | It has a branched structure. Compared with PV-P2 and PV-P3, the degree of branching is higher. | glucose 8.3%; mannose 1.9%; galactose 9.7%; xylose 55.9%; arabinose 24.2%","PV - P1 | β-Araf-(1→3); β-Xylf-(1→6); α-Glcp-(1→3); β-Galp-(1→4,6); α-Glcp-(1→3,6) | Mainly composed of → 5) -Araf- (1 →, → 3) -Xylf- (1 → and → 6) -Glcp- (1 → residues, there are also terminal mannose groups, terminal galactose groups, → 3) -Galp- (1 →, → 4,6) -Glcp- (1 → and → 3,6) -Galp- (1 → residues | It has a branched structure. Compared with PV-P2 and PV-P3, the degree of branching is higher. | glucose 8.3%; mannose 1.9%; galactose 9.7%; xylose 55.9%; arabinose 24.2%",1820kDa,"It has a branched structure. Compared with PV-P2 and PV-P3, the degree of branching is higher."
