bond_id:ID,:LABEL,bond_text_raw,bond_signature,anomericity,donor_residue,acceptor_position
bond:f9d1b83d223b,GlycosidicBond,β-Glcp-(1→2),β-Glcp-(1→2),,,
bond:2c50aac98384,GlycosidicBond,α-Rhap-(1→1),α-Rhap-(1→1),,,
bond:d4505143343f,GlycosidicBond,α-Manp-(1→1),α-Manp-(1→1),,,
bond:273908c0f6c5,GlycosidicBond,α-Fucp-(1→2),α-Fucp-(1→2),,,
bond:7a1268cbac00,GlycosidicBond,β-Rhap-(1→4),β-Rhap-(1→4),,,
bond:18b0533801bc,GlycosidicBond,α-Arap-(1→6),α-Arap-(1→6),,,
bond:918a3fca45f1,GlycosidicBond,"α-Galp-(1→2,6)","α-Galp-(1→2,6)",,,
bond:54d12405c466,GlycosidicBond,α-Araf-(1→1),α-Araf-(1→1),,,
bond:f379da5a552f,GlycosidicBond,β-GalpA-(1→1),β-GalpA-(1→1),,,
bond:634559d23c75,GlycosidicBond,"β-Araf-(1→2,5)","β-Araf-(1→2,5)",,,
bond:c292f4468df2,GlycosidicBond,"α-Glcp-(1→3,4,6)","α-Glcp-(1→3,4,6)",,,
bond:a8567f78d6b0,GlycosidicBond,β-Galp-(3→4),β-Galp-(3→4),,,
bond:d46f89a5ae3a,GlycosidicBond,β-GlcA-(1→3),β-GlcA-(1→3),,,
bond:ce7f7746c2a3,GlycosidicBond,β-Xylp-(1→1),β-Xylp-(1→1),,,
bond:1cf6f408b486,GlycosidicBond,α-Rhap-(2→1),α-Rhap-(2→1),,,
bond:ed856b8982bd,GlycosidicBond,β-GalA-(4→1),β-GalA-(4→1),,,
bond:e75b03bc8c93,GlycosidicBond,β-Galp-(6→1),β-Galp-(6→1),,,
bond:07734cab59c1,GlycosidicBond,"α-GalA-(1→2,4)","α-GalA-(1→2,4)",,,
bond:4a28e92093df,GlycosidicBond,α-Galp-(6→1),α-Galp-(6→1),,,
bond:9a13b3a52b96,GlycosidicBond,β-Glcp-(3→1),β-Glcp-(3→1),,,
bond:b4f5574ecf7c,GlycosidicBond,β-Glcp-(6→1),β-Glcp-(6→1),,,
bond:93430e2d2106,GlycosidicBond,β-Manp-(4→1),β-Manp-(4→1),,,
bond:53e234ed4377,GlycosidicBond,"α-Galp-(1→3,6)","α-Galp-(1→3,6)",,,
bond:6da40683a440,GlycosidicBond,α-Manp-(2→1),α-Manp-(2→1),,,
bond:56124e06b5e3,GlycosidicBond,"β-Glcp-(1→1,2,3,5)","β-Glcp-(1→1,2,3,5)",,,
bond:85081897ceba,GlycosidicBond,α-Arap-(1→4),α-Arap-(1→4),,,
bond:a5a1eb0e26c6,GlycosidicBond,"β-GalA-(1→4,6)","β-GalA-(1→4,6)",,,
bond:04f7be0fa1f9,GlycosidicBond,"β-Glcp-(1→2,3,4)","β-Glcp-(1→2,3,4)",,,
bond:98293c8d4203,GlycosidicBond,"α-Araf-(1→2,3,5)","α-Araf-(1→2,3,5)",,,
bond:8173ed5c105d,GlycosidicBond,α-Rhap-(4→4),α-Rhap-(4→4),,,
bond:a073c3596ba2,GlycosidicBond,"β-Xylp-(1→3,5)","β-Xylp-(1→3,5)",,,
bond:8fba4b0ffdf2,GlycosidicBond,"α-Araf-(1→2,5)","α-Araf-(1→2,5)",,,
bond:515b386864b0,GlycosidicBond,"α-Araf-(1→2,4)","α-Araf-(1→2,4)",,,
bond:e720bff3aa82,GlycosidicBond,β-Rhap-(1→2),β-Rhap-(1→2),,,
bond:afcb57d93026,GlycosidicBond,α-Xylp-(1→5),α-Xylp-(1→5),,,
bond:604e5274b07f,GlycosidicBond,"β-Glcp-(1→1,4)","β-Glcp-(1→1,4)",,,
bond:1bdfce9e6e71,GlycosidicBond,α-Xylp-(1→6),α-Xylp-(1→6),,,
bond:f37f66695cf2,GlycosidicBond,β-Fucp-(1→4),β-Fucp-(1→4),,,
bond:50110affee54,GlycosidicBond,α-Fucp-(1→4),α-Fucp-(1→4),,,
bond:86410a03475b,GlycosidicBond,"α-Fucp-(1→3,4)","α-Fucp-(1→3,4)",,,
bond:754b5ec2f85e,GlycosidicBond,α-Manp-(3→1),α-Manp-(3→1),,,
bond:3a9e93a55643,GlycosidicBond,"α-Rhap-(1→2,3)","α-Rhap-(1→2,3)",,,
bond:49d108f64b89,GlycosidicBond,"β-Galp-(1→2,3)","β-Galp-(1→2,3)",,,
bond:f69414b2bdae,GlycosidicBond,β-GlcA-(1→5),β-GlcA-(1→5),,,
bond:ddf418e6615a,GlycosidicBond,"β-Fucp-(1→3,4)","β-Fucp-(1→3,4)",,,
bond:c9ad9f965fd3,GlycosidicBond,β-Xylp-(1→4),β-Xylp-(1→4),,,
bond:17e94e3f5d61,GlycosidicBond,α-GalA-(1→2),α-GalA-(1→2),,,
bond:946c6b484b2f,GlycosidicBond,α-Fucp-(1→6),α-Fucp-(1→6),,,
bond:24e8e2ea62c4,GlycosidicBond,"β-Glcp-(6→1,4)","β-Glcp-(6→1,4)",,,
bond:dd9adce61c74,GlycosidicBond,α-Glcp-(3→1),α-Glcp-(3→1),,,
bond:3597467d117b,GlycosidicBond,α-Fucp-(3→1),α-Fucp-(3→1),,,
bond:00d370debb4c,GlycosidicBond,α-Arap-(2→1),α-Arap-(2→1),,,
bond:2db1319f2af4,GlycosidicBond,α-Xylp-(2→1),α-Xylp-(2→1),,,
bond:f4e9a4061de7,GlycosidicBond,β-Glcp-(2→1),β-Glcp-(2→1),,,
bond:2870e73dba84,GlycosidicBond,α-Glap-(1→4),α-Glap-(1→4),,,
bond:49e49583f723,GlycosidicBond,"β-Arap-(1→2,4)","β-Arap-(1→2,4)",,,
bond:bfcece0ff75c,GlycosidicBond,"β-Manp-(1→1,4)","β-Manp-(1→1,4)",,,
bond:dfae910fb26b,GlycosidicBond,"β-Manp-(1→3,4)","β-Manp-(1→3,4)",,,
bond:ab31751fe89a,GlycosidicBond,β-Manp-(1→3),β-Manp-(1→3),,,
bond:6b651bb1f1b3,GlycosidicBond,"β-Manp-(1→2,6)","β-Manp-(1→2,6)",,,
bond:67f5f741bbdd,GlycosidicBond,β-Glcp-(3→4),β-Glcp-(3→4),,,
bond:c78d6185f575,GlycosidicBond,β-Galp-(4→1),β-Galp-(4→1),,,
bond:bf2fbb686e75,GlycosidicBond,a-Manp-(1→2),a-Manp-(1→2),,,
bond:868c6c5cf7ec,GlycosidicBond,β-Glcp-(6→3),β-Glcp-(6→3),,,
bond:838b1d56933e,GlycosidicBond,"β-Galp-(1→2,3,6)","β-Galp-(1→2,3,6)",,,
bond:270d80eabe11,GlycosidicBond,"α-Galp-(1→4,6)","α-Galp-(1→4,6)",,,
bond:5b8e9f052152,GlycosidicBond,β-Xylf-(1→5),β-Xylf-(1→5),,,
bond:d8192742044b,GlycosidicBond,"α-Rhap-(1→1,3)","α-Rhap-(1→1,3)",,,
bond:378fb166d5ab,GlycosidicBond,"β-Galp-(1→1,6)","β-Galp-(1→1,6)",,,
bond:2b1f12aade7b,GlycosidicBond,"β-Galp-(1→1,3,6)","β-Galp-(1→1,3,6)",,,
bond:917d2db28d7b,GlycosidicBond,"β-Araf-(1→3,5)","β-Araf-(1→3,5)",,,
bond:b1c4b85f5957,GlycosidicBond,"β-Rhap-(1→2,4)","β-Rhap-(1→2,4)",,,
bond:b118e6a51536,GlycosidicBond,"α-Glcp-(1→1,6)","α-Glcp-(1→1,6)",,,
bond:aa9ee762c70c,GlycosidicBond,"β-Galp-(1→2,6)","β-Galp-(1→2,6)",,,
bond:d02dc276d5c6,GlycosidicBond,"β-Glcp-(1→3,4)","β-Glcp-(1→3,4)",,,
bond:ad2b733c2210,GlycosidicBond,"α-Rhap-(1→3,4)","α-Rhap-(1→3,4)",,,
bond:68b3f5d253ba,GlycosidicBond,β-Araf-(1→2),β-Araf-(1→2),,,
bond:348e158f4bcf,GlycosidicBond,"α-Glcp-(1→2,3)","α-Glcp-(1→2,3)",,,
bond:e4b17ae08033,GlycosidicBond,"α-Galp-(1→6,2)","α-Galp-(1→6,2)",,,
bond:3447c84bc7ee,GlycosidicBond,"α-Glcp-(1→6,4)","α-Glcp-(1→6,4)",,,
bond:d86b8de45ad6,GlycosidicBond,β-Araf-(1→1),β-Araf-(1→1),,,
bond:ee1869bcbf26,GlycosidicBond,"α-Glcp-(1→3,4)","α-Glcp-(1→3,4)",,,
bond:e4b968d4c357,GlycosidicBond,"β-Manp-(1→4,6)","β-Manp-(1→4,6)",,,
bond:7b0a175417e5,GlycosidicBond,β-Xylp-(1→6),β-Xylp-(1→6),,,
bond:798c501d9ac2,GlycosidicBond,"β-Fruf-(2→1,6)","β-Fruf-(2→1,6)",,,
bond:7e88ae6fdd19,GlycosidicBond,"α-GalA-(1→3,6)","α-GalA-(1→3,6)",,,
bond:4b9ef0adccd5,GlycosidicBond,"α-Arap-(1→3,5)","α-Arap-(1→3,5)",,,
bond:e0da2d2ca283,GlycosidicBond,β-GalNAc-(1→4),β-GalNAc-(1→4),,,
bond:2eb9a582da6e,GlycosidicBond,α-GlapA-(1→4),α-GlapA-(1→4),,,
bond:8ec4ab74705e,GlycosidicBond,α-Galp-(4→3),α-Galp-(4→3),,,
bond:5dd42ea9dde3,GlycosidicBond,α-Fucp-(4→1),α-Fucp-(4→1),,,
bond:c2d24baa487a,GlycosidicBond,α-Xylp-(3→1),α-Xylp-(3→1),,,
bond:506531a62f78,GlycosidicBond,α-Manp-(2→6),α-Manp-(2→6),,,
bond:b6a65841220a,GlycosidicBond,α-Galp-(2→6),α-Galp-(2→6),,,
bond:b9c784ccce43,GlycosidicBond,"α-Araf-(1→4,6)","α-Araf-(1→4,6)",,,
bond:6d2cfe1315a9,GlycosidicBond,α-GalN-(1→6),α-GalN-(1→6),,,
bond:f45eefe7d97a,GlycosidicBond,β-Fruf-(1→2),β-Fruf-(1→2),,,
bond:10c1d3d12c76,GlycosidicBond,"α-Glcp-(1,4→6)","α-Glcp-(1,4→6)",,,
bond:5b93b6f263c7,GlycosidicBond,β-Fucp-(1→6),β-Fucp-(1→6),,,
bond:de45aedbb19c,GlycosidicBond,β-Gal-(1→6),β-Gal-(1→6),,,
bond:963246193132,GlycosidicBond,β-Xylp-(1→2),β-Xylp-(1→2),,,
bond:b6231a2220ce,GlycosidicBond,β-Fru-(1→2),β-Fru-(1→2),,,
bond:597fca0b6882,GlycosidicBond,"α-Manp-(1→3,4)","α-Manp-(1→3,4)",,,
bond:f142049b40b2,GlycosidicBond,β-Manp-(1→2),β-Manp-(1→2),,,
bond:31527a09c6a3,GlycosidicBond,β-GlcA-(1→2),β-GlcA-(1→2),,,
bond:d3f5d669f271,GlycosidicBond,β-ManA-(1→4),β-ManA-(1→4),,,
bond:bfa07aa92007,GlycosidicBond,β-GalN-(1→5),β-GalN-(1→5),,,
bond:3eaba7b38c7c,GlycosidicBond,β-GalN-(1→3),β-GalN-(1→3),,,
bond:4b0294eee218,GlycosidicBond,α-Xylp-(5→1),α-Xylp-(5→1),,,
bond:df0818e77031,GlycosidicBond,α-Manp-(6→2),α-Manp-(6→2),,,
bond:954ba96e899a,GlycosidicBond,α-(1→4)-Glcp,α-(1→4)-Glcp,,,
bond:1dfe3ee3778e,GlycosidicBond,β-Manp-(1→1),β-Manp-(1→1),,,
bond:73f3406882d4,GlycosidicBond,α-Arap-(1→1),α-Arap-(1→1),,,
bond:57880582867a,GlycosidicBond,"α-Arap-(1→2,3,5)","α-Arap-(1→2,3,5)",,,
bond:28660f05e3bc,GlycosidicBond,"α-Manp-(1→2,3)","α-Manp-(1→2,3)",,,
bond:75288be0fac1,GlycosidicBond,α-Fucp-(1→1),α-Fucp-(1→1),,,
bond:20a8d764fab6,GlycosidicBond,"α-Manp-(1→2,4)","α-Manp-(1→2,4)",,,
bond:c3c75faa7709,GlycosidicBond,β-Xylp-(1→3),β-Xylp-(1→3),,,
bond:e2efd56e07cf,GlycosidicBond,β-D-Galp-(1→1),β-D-Galp-(1→1),,,
bond:260eb32988cf,GlycosidicBond,β-Galf-(1→2),β-Galf-(1→2),,,
bond:c16f567daeb6,GlycosidicBond,β-Galf-(1→6),β-Galf-(1→6),,,
bond:ff70c5444c58,GlycosidicBond,"β-GalA-(1→3,4)","β-GalA-(1→3,4)",,,
bond:f7428064cb86,GlycosidicBond,"β-Manp-(1→2,3)","β-Manp-(1→2,3)",,,
bond:4646267fe4fa,GlycosidicBond,β-GalA(1→1),β-GalA(1→1),,,
bond:d6c875bc570e,GlycosidicBond,α-GlcA-(1→3),α-GlcA-(1→3),,,
bond:a97abd5871f5,GlycosidicBond,"α-Glcp-(1→2,6)","α-Glcp-(1→2,6)",,,
bond:58edb0e78633,GlycosidicBond,α-Xylp-(1→2),α-Xylp-(1→2),,,
bond:0fcd82d382dd,GlycosidicBond,β-GalA-(1→3),β-GalA-(1→3),,,
bond:453a1d497845,GlycosidicBond,β-GalpA-(1→4),β-GalpA-(1→4),,,
bond:ab3bb2d97c0e,GlycosidicBond,β-GalpA-(1→2),β-GalpA-(1→2),,,
bond:1d1cad2195a3,GlycosidicBond,β-GalpA-(1→3),β-GalpA-(1→3),,,
bond:1d11d38463d2,GlycosidicBond,β-GalA-(1→6),β-GalA-(1→6),,,
bond:2154ebf04b6a,GlycosidicBond,α-GlcA-(1→5),α-GlcA-(1→5),,,
bond:da440afb2329,GlycosidicBond,"β-Galp-(1→1,3)","β-Galp-(1→1,3)",,,
bond:b579bf5a4eeb,GlycosidicBond,β-Fucp-(1→3),β-Fucp-(1→3),,,
bond:7665df15e610,GlycosidicBond,"β-Arap-(1→3,6)","β-Arap-(1→3,6)",,,
bond:6c2b925c3781,GlycosidicBond,β-Rhap-(1→3),β-Rhap-(1→3),,,
bond:8c373aadc326,GlycosidicBond,β-Araf-(1→),β-Araf-(1→),,,
bond:2e206dbb1ea4,GlycosidicBond,"β-Arap-(1→2,3,5)","β-Arap-(1→2,3,5)",,,
bond:54abd83e0c61,GlycosidicBond,β-Arap-(1→6),β-Arap-(1→6),,,
bond:e3890082f6b7,GlycosidicBond,"β-Arap-(1→2,6)","β-Arap-(1→2,6)",,,
bond:86f344091400,GlycosidicBond,"α-Rhap-(1→2,3,4)","α-Rhap-(1→2,3,4)",,,
bond:ed45df85dc50,GlycosidicBond,"β-Xylp-(1→2,4)","β-Xylp-(1→2,4)",,,
bond:808b8a5ab395,GlycosidicBond,α-GalNAc-(1→3),α-GalNAc-(1→3),,,
bond:1a8d539fe925,GlycosidicBond,α-GalNAc-(1→4),α-GalNAc-(1→4),,,
bond:0a08bff18e7f,GlycosidicBond,α-ManA-(1→4),α-ManA-(1→4),,,
bond:69ed8c459e57,GlycosidicBond,α-GalpA-(1→2),α-GalpA-(1→2),,,
bond:b0a13c67e382,GlycosidicBond,β-Xylf-(1→6),β-Xylf-(1→6),,,
bond:f91f4c603eee,GlycosidicBond,α-GalpAp-(1→4),α-GalpAp-(1→4),,,
bond:0dd16ac8a116,GlycosidicBond,α-GlcA-(1→6),α-GlcA-(1→6),,,
bond:2797b0811281,GlycosidicBond,"β-Xylp-(1→3,4)","β-Xylp-(1→3,4)",,,
bond:391848f2c353,GlycosidicBond,"α-Glcp-(1→, →4,6)","α-Glcp-(1→, →4,6)",,,
bond:2350a1a34feb,GlycosidicBond,"α-Glcp-(1→, →3,4,6)","α-Glcp-(1→, →3,4,6)",,,
bond:ca00b05c63dc,GlycosidicBond,β-GlcNAc-(1→4),β-GlcNAc-(1→4),,,
bond:435ff83baa98,GlycosidicBond,β-GlcN-(1→4),β-GlcN-(1→4),,,
bond:ee6ef3445e5c,GlycosidicBond,β-GlcA(1→3),β-GlcA(1→3),,,
bond:ca140e4934e3,GlycosidicBond,β-GlcA-(1→1),β-GlcA-(1→1),,,
bond:0cbde796f624,GlycosidicBond,"α-Glcp-(1→2,3,4)","α-Glcp-(1→2,3,4)",,,
bond:313cb5a421e9,GlycosidicBond,"α-Glcp-(1→2,3,6)","α-Glcp-(1→2,3,6)",,,
bond:16b727140f5b,GlycosidicBond,"β-Arap-(1→2,3)","β-Arap-(1→2,3)",,,
bond:1c9f75ec798c,GlycosidicBond,"α-Galp-(1→3,4,6)","α-Galp-(1→3,4,6)",,,
bond:f693efba39c7,GlycosidicBond,α-Rhap(1→2),α-Rhap(1→2),,,
bond:23b82d50d569,GlycosidicBond,α-Glcp-(1→4）,α-Glcp-(1→4）,,,
bond:63486eead734,GlycosidicBond,β-Galp-(3→1),β-Galp-(3→1),,,
bond:fe7400379aef,GlycosidicBond,"β-Galp-(6→1,3)","β-Galp-(6→1,3)",,,
