:START_ID,:END_ID,:TYPE,source_record_id
dolphin::32835,10.1016/j.carbpol.2022.119674,SUPPORTED_BY,32835
dolphin::32836,10.3390/ijms231810392,SUPPORTED_BY,32836
dolphin::32837,10.1016/j.carbpol.2021.118081,SUPPORTED_BY,32837
dolphin::32838,10.1016/j.ijbiomac.2022.09.137,SUPPORTED_BY,32838
dolphin::32839,10.1111/jfbc.14323,SUPPORTED_BY,32839
dolphin::32840,10.1007/s10719-022-10086-4,SUPPORTED_BY,32840
dolphin::32841,10.1016/j.ijbiomac.2023.124114,SUPPORTED_BY,32841
dolphin::32842,10.1016/j.carbpol.2021.117979,SUPPORTED_BY,32842
dolphin::32843,10.1016/j.ijbiomac.2022.05.016,SUPPORTED_BY,32843
dolphin::32844,10.1016/j.ijbiomac.2019.11.039,SUPPORTED_BY,32844
dolphin::32845,10.1016/j.ijbiomac.2021.11.172,SUPPORTED_BY,32845
dolphin::32846,10.1039/d1fo01683k,SUPPORTED_BY,32846
dolphin::32847,10.1016/j.foodchem.2021.130310,SUPPORTED_BY,32847
dolphin::32848,10.1039/d1fo00741f,SUPPORTED_BY,32848
dolphin::32849,10.1016/j.ijbiomac.2019.02.043,SUPPORTED_BY,32849
dolphin::32850,10.1038/s41598-022-21697-0,SUPPORTED_BY,32850
dolphin::32851,10.1016/j.ijbiomac.2021.08.159,SUPPORTED_BY,32851
dolphin::32852,10.1016/j.ijbiomac.2021.08.159,SUPPORTED_BY,32852
dolphin::32853,10.1002/cbdv.202200084,SUPPORTED_BY,32853
dolphin::32854,10.1016/j.ijbiomac.2018.12.216,SUPPORTED_BY,32854
dolphin::32855,10.1016/j.carbpol.2020.116567,SUPPORTED_BY,32855
dolphin::32856,10.1016/j.ijbiomac.2021.03.176,SUPPORTED_BY,32856
dolphin::32857,10.1016/j.ijbiomac.2022.02.089,SUPPORTED_BY,32857
dolphin::32858,10.1016/j.ijbiomac.2021.01.009,SUPPORTED_BY,32858
dolphin::32859,10.1016/j.ijbiomac.2019.10.228,SUPPORTED_BY,32859
dolphin::32860,10.1016/j.ijbiomac.2019.11.040,SUPPORTED_BY,32860
dolphin::32861,10.1016/j.ijbiomac.2019.02.146,SUPPORTED_BY,32861
dolphin::32862,10.1016/j.ijbiomac.2019.06.076,SUPPORTED_BY,32862
dolphin::32863,10.1016/j.carbpol.2021.118080,SUPPORTED_BY,32863
dolphin::32864,10.1016/j.ijbiomac.2019.06.090,SUPPORTED_BY,32864
dolphin::32865,10.1021/acs.jafc.2c05593,SUPPORTED_BY,32865
dolphin::32866,10.1039/d0fo01234c,SUPPORTED_BY,32866
dolphin::32867,10.1016/j.ijbiomac.2020.11.040,SUPPORTED_BY,32867
dolphin::32868,10.1016/j.ijbiomac.2019.10.081,SUPPORTED_BY,32868
dolphin::32869,10.1016/j.carbpol.2020.117380,SUPPORTED_BY,32869
dolphin::32870,10.1016/j.carbpol.2020.116469,SUPPORTED_BY,32870
dolphin::32871,10.3390/molecules26237116,SUPPORTED_BY,32871
dolphin::32872,10.1016/j.ijbiomac.2020.09.243,SUPPORTED_BY,32872
dolphin::32873,10.1016/j.ijbiomac.2020.06.275,SUPPORTED_BY,32873
dolphin::32874,10.1016/j.ijbiomac.2019.12.166,SUPPORTED_BY,32874
dolphin::32875,10.1016/j.ijbiomac.2021.03.051,SUPPORTED_BY,32875
dolphin::32876,10.1016/j.foodchem.2021.129908,SUPPORTED_BY,32876
dolphin::32877,10.1128/iai.25.1.357-365.1979,SUPPORTED_BY,32877
dolphin::32878,10.1111/j.1432-1033.1982.tb19787.x,SUPPORTED_BY,32878
dolphin::32879,10.1042/bj1350019,SUPPORTED_BY,32879
dolphin::32880,10.1099/00221287-94-1-180,SUPPORTED_BY,32880
dolphin::32881,10.1042/bj1390535,SUPPORTED_BY,32881
dolphin::32882,10.1016/0008-6215(92)84109-6,SUPPORTED_BY,32882
dolphin::32883,10.1111/j.1348-0421.1983.tb00631.x,SUPPORTED_BY,32883
dolphin::32884,/,SUPPORTED_BY,32884
dolphin::32885,10.1111/j.1348-0421.1985.tb02962.x,SUPPORTED_BY,32885
dolphin::32886,10.1016/j.fitote.2009.08.011,SUPPORTED_BY,32886
dolphin::32887,10.1016/j.carres.2010.03.005,SUPPORTED_BY,32887
dolphin::32888,10.1016/j.ijbiomac.2010.10.015,SUPPORTED_BY,32888
dolphin::32889,10.1016/j.biochi.2005.03.004,SUPPORTED_BY,32889
dolphin::32890,10.1093/abbs/gmr024,SUPPORTED_BY,32890
dolphin::32891,/,SUPPORTED_BY,32891
dolphin::32892,10.1016/j.carres.2009.01.021,SUPPORTED_BY,32892
dolphin::32893,10.1016/j.ijbiomac.2017.11.111,SUPPORTED_BY,32893
dolphin::32894,10.1016/j.carbpol.2015.12.019,SUPPORTED_BY,32894
dolphin::32895,10.1016/j.ijbiomac.2018.10.201,SUPPORTED_BY,32895
dolphin::32896,10.1016/j.ijbiomac.2018.10.201,SUPPORTED_BY,32896
dolphin::32897,10.1021/acs.jafc.6b05218,SUPPORTED_BY,32897
dolphin::32898,10.1039/c6fo00172f,SUPPORTED_BY,32898
dolphin::32899,10.1007/s10126-015-9611-6,SUPPORTED_BY,32899
dolphin::32900,10.3390/ijms160715560,SUPPORTED_BY,32900
dolphin::32901,10.3390/ijms160715560,SUPPORTED_BY,32901
dolphin::32902,10.3390/ijms160715560,SUPPORTED_BY,32902
dolphin::32903,10.1016/j.carbpol.2016.08.059,SUPPORTED_BY,32903
dolphin::32904,10.1002/jsfa.12239,SUPPORTED_BY,32904
dolphin::32905,10.1016/j.carbpol.2022.120452,SUPPORTED_BY,32905
dolphin::32906,10.1016/j.carbpol.2022.120452,SUPPORTED_BY,32906
dolphin::32907,10.1016/j.ijbiomac.2018.12.214,SUPPORTED_BY,32907
dolphin::32908,10.1016/j.ijbiomac.2018.10.055,SUPPORTED_BY,32908
dolphin::32909,10.1039/d1fo00297j,SUPPORTED_BY,32909
dolphin::32910,10.1016/bs.pmbts.2019.02.010,SUPPORTED_BY,32910
dolphin::32911,10.1016/j.carbpol.2020.117380,SUPPORTED_BY,32911
dolphin::32912,10.1016/j.ijbiomac.2024.131701,SUPPORTED_BY,32912
dolphin::32913,10.1016/j.ijbiomac.2024.131701,SUPPORTED_BY,32913
dolphin::32914,10.1016/j.ijbiomac.2024.131701,SUPPORTED_BY,32914
dolphin::32915,10.1080/14786419.2022.2096605,SUPPORTED_BY,32915
dolphin::32916,10.1016/j.ijbiomac.2019.10.081,SUPPORTED_BY,32916
dolphin::32917,10.1016/j.ijbiomac.2021.04.178,SUPPORTED_BY,32917
dolphin::32918,10.1016/j.ijbiomac.2019.10.223,SUPPORTED_BY,32918
dolphin::32919,10.1080/14786419.2018.1471480,SUPPORTED_BY,32919
dolphin::32920,10.1080/14786419.2018.1471480,SUPPORTED_BY,32920
dolphin::32921,10.1016/j.ijbiomac.2020.06.140,SUPPORTED_BY,32921
dolphin::32922,10.1016/j.ijbiomac.2021.03.088,SUPPORTED_BY,32922
dolphin::32923,10.1016/j.carbpol.2020.116020,SUPPORTED_BY,32923
dolphin::32924,10.1016/j.ijbiomac.2019.11.212,SUPPORTED_BY,32924
dolphin::32925,10.1016/j.ijbiomac.2021.11.060,SUPPORTED_BY,32925
dolphin::32926,10.1016/j.ijbiomac.2019.11.245,SUPPORTED_BY,32926
dolphin::32927,10.1016/j.carres.2022.108698,SUPPORTED_BY,32927
dolphin::32928,10.1016/j.ijbiomac.2020.06.128,SUPPORTED_BY,32928
dolphin::32929,10.1016/j.ijbiomac.2020.01.284,SUPPORTED_BY,32929
dolphin::32930,10.1016/j.ijbiomac.2020.02.034,SUPPORTED_BY,32930
dolphin::32931,10.1016/j.ijbiomac.2016.05.063,SUPPORTED_BY,32931
dolphin::32932,10.1016/j.ijbiomac.2018.01.110,SUPPORTED_BY,32932
dolphin::32933,10.1016/j.carbpol.2018.09.068,SUPPORTED_BY,32933
dolphin::32934,10.1080/14786419.2018.1471480,SUPPORTED_BY,32934
dolphin::32935,10.1080/14786419.2018.1471480,SUPPORTED_BY,32935
dolphin::32936,10.1016/j.carbpol.2014.06.021,SUPPORTED_BY,32936
dolphin::32937,10.1016/j.ijbiomac.2018.02.070,SUPPORTED_BY,32937
dolphin::32938,10.1016/j.ijbiomac.2017.05.191,SUPPORTED_BY,32938
dolphin::32939,10.1080/10286020.2016.1173675,SUPPORTED_BY,32939
dolphin::32940,10.3389/fphar.2022.937581,SUPPORTED_BY,32940
dolphin::32941,10.3389/fphar.2022.937581,SUPPORTED_BY,32941
dolphin::32942,10.1016/j.fochx.2023.100621,SUPPORTED_BY,32942
dolphin::32943,10.1016/j.fochx.2023.100621,SUPPORTED_BY,32943
dolphin::32944,10.1016/j.carbpol.2016.11.006,SUPPORTED_BY,32944
dolphin::32945,10.1155/2018/6285134,SUPPORTED_BY,32945
dolphin::32946,10.1155/2018/6285134,SUPPORTED_BY,32946
dolphin::32947,10.1155/2018/6285134,SUPPORTED_BY,32947
dolphin::32948,10.1155/2018/6285134,SUPPORTED_BY,32948
dolphin::32949,10.1155/2018/6285134,SUPPORTED_BY,32949
dolphin::32950,10.1155/2018/6285134,SUPPORTED_BY,32950
dolphin::32951,10.1155/2018/6285134,SUPPORTED_BY,32951
dolphin::32952,10.1016/j.carbpol.2022.120452,SUPPORTED_BY,32952
dolphin::32953,10.1002/jsfa.11356,SUPPORTED_BY,32953
dolphin::32954,10.1016/j.ijbiomac.2023.123843,SUPPORTED_BY,32954
dolphin::32955,10.1016/j.ijbiomac.2021.06.152,SUPPORTED_BY,32955
dolphin::32956,10.1016/j.ijbiomac.2021.06.152,SUPPORTED_BY,32956
dolphin::32957,10.1016/j.ijbiomac.2021.09.038,SUPPORTED_BY,32957
dolphin::32958,10.3390/gels8010005,SUPPORTED_BY,32958
dolphin::32959,10.3390/gels8010005,SUPPORTED_BY,32959
dolphin::32960,10.3390/md15120388,SUPPORTED_BY,32960
dolphin::32961,10.3390/md15120388,SUPPORTED_BY,32961
dolphin::32962,10.1016/j.ijbiomac.2018.09.192,SUPPORTED_BY,32962
dolphin::32963,10.1016/j.ijbiomac.2018.10.055,SUPPORTED_BY,32963
dolphin::32964,10.1016/j.ijbiomac.2017.01.149,SUPPORTED_BY,32964
dolphin::32965,10.1016/j.ijbiomac.2015.10.032,SUPPORTED_BY,32965
dolphin::32966,10.1080/14786419.2017.1423308,SUPPORTED_BY,32966
dolphin::32967,10.1016/j.ijbiomac.2018.01.110,SUPPORTED_BY,32967
dolphin::32968,10.1016/j.ijbiomac.2018.10.055,SUPPORTED_BY,32968
dolphin::32969,10.1002/jsfa.11356,SUPPORTED_BY,32969
dolphin::32970,10.1016/j.ijbiomac.2020.11.060,SUPPORTED_BY,32970
dolphin::32971,10.1016/j.ijbiomac.2021.02.163,SUPPORTED_BY,32971
dolphin::32972,10.1016/j.ijbiomac.2022.05.097,SUPPORTED_BY,32972
dolphin::32973,10.1016/j.ijbiomac.2023.123324,SUPPORTED_BY,32973
dolphin::32974,10.1016/j.ijbiomac.2020.02.015,SUPPORTED_BY,32974
dolphin::32975,10.1016/j.ijbiomac.2020.02.015,SUPPORTED_BY,32975
dolphin::32976,10.1016/j.ijbiomac.2020.02.015,SUPPORTED_BY,32976
dolphin::32977,10.1038/s41598-022-26802-x,SUPPORTED_BY,32977
dolphin::32978,10.1038/s41598-022-26802-x,SUPPORTED_BY,32978
dolphin::32979,10.1016/j.carbpol.2022.119309,SUPPORTED_BY,32979
dolphin::32980,10.1016/j.carbpol.2020.117516,SUPPORTED_BY,32980
dolphin::32981,10.1016/j.ijbiomac.2019.03.148,SUPPORTED_BY,32981
dolphin::32982,10.1016/j.foodchem.2020.127042,SUPPORTED_BY,32982
dolphin::32983,10.1080/14786419.2017.1423308,SUPPORTED_BY,32983
dolphin::32984,10.1016/j.ijbiomac.2019.04.087,SUPPORTED_BY,32984
dolphin::32985,10.1111/jfbc.13871,SUPPORTED_BY,32985
dolphin::32986,10.1039/c9fo00860h,SUPPORTED_BY,32986
dolphin::32987,10.1002/mnfr.202200713,SUPPORTED_BY,32987
dolphin::32988,10.1016/j.ijbiomac.2021.04.178,SUPPORTED_BY,32988
dolphin::32989,10.1080/14786419.2018.1471480,SUPPORTED_BY,32989
dolphin::32990,10.1080/14786419.2018.1471480,SUPPORTED_BY,32990
dolphin::32991,10.1016/j.ijbiomac.2021.03.088,SUPPORTED_BY,32991
dolphin::32992,10.1016/j.carbpol.2020.116020,SUPPORTED_BY,32992
dolphin::32993,10.3390/molecules28145566,SUPPORTED_BY,32993
dolphin::32994,10.1016/j.ijbiomac.2011.06.012,SUPPORTED_BY,32994
dolphin::32995,10.1142/S0192415X09007387,SUPPORTED_BY,32995
dolphin::32996,10.1016/j.ijbiomac.2017.08.163,SUPPORTED_BY,32996
dolphin::32997,10.1016/j.ijbiomac.2018.05.212,SUPPORTED_BY,32997
dolphin::32998,10.3390/md11114464,SUPPORTED_BY,32998
dolphin::32999,10.3892/or.2015.3921,SUPPORTED_BY,32999
dolphin::33000,10.1016/j.carbpol.2015.08.067,SUPPORTED_BY,33000
