source_id,target_id,edge_type,source_db
dolphin::32833,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32833,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32834,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32835,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32836,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32837,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32838,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32839,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32840,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32841,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32842,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32843,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32844,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32845,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32846,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32847,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32848,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32849,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32850,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32851,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32852,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32853,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32854,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32854,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32855,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32856,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32857,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32858,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32859,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32860,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32861,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32862,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32863,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32863,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32864,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32865,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32866,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32867,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
