source_id,target_id,edge_type
dolphin::32813,bond:a6fd732a7854,HAS_GLYCOSIDIC_BOND
dolphin::32813,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32814,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32814,bond:f9d1b83d223b,HAS_GLYCOSIDIC_BOND
dolphin::32814,bond:0391cd25bbaf,HAS_GLYCOSIDIC_BOND
dolphin::32814,bond:2c50aac98384,HAS_GLYCOSIDIC_BOND
dolphin::32814,bond:9fc12cbd95c8,HAS_GLYCOSIDIC_BOND
dolphin::32814,bond:b49a301d3721,HAS_GLYCOSIDIC_BOND
dolphin::32815,bond:d5688f33a6b5,HAS_GLYCOSIDIC_BOND
dolphin::32815,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32815,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32816,bond:38ac0a48d38f,HAS_GLYCOSIDIC_BOND
dolphin::32816,bond:d4505143343f,HAS_GLYCOSIDIC_BOND
dolphin::32816,bond:d0c29fa08a4b,HAS_GLYCOSIDIC_BOND
dolphin::32816,bond:a6fd732a7854,HAS_GLYCOSIDIC_BOND
dolphin::32816,bond:90e18407cfd8,HAS_GLYCOSIDIC_BOND
dolphin::32817,bond:380ef2e4ac6d,HAS_GLYCOSIDIC_BOND
dolphin::32817,bond:273908c0f6c5,HAS_GLYCOSIDIC_BOND
dolphin::32817,bond:c1b10e35ea5c,HAS_GLYCOSIDIC_BOND
dolphin::32818,bond:5f5b8f9a3ede,HAS_GLYCOSIDIC_BOND
dolphin::32818,bond:7a1268cbac00,HAS_GLYCOSIDIC_BOND
dolphin::32819,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32819,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32819,bond:7372fc450f24,HAS_GLYCOSIDIC_BOND
dolphin::32819,bond:b49a301d3721,HAS_GLYCOSIDIC_BOND
dolphin::32820,bond:18b0533801bc,HAS_GLYCOSIDIC_BOND
dolphin::32823,bond:c4533beb842e,HAS_GLYCOSIDIC_BOND
dolphin::32823,bond:d7527f3c34fe,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:bf7035146e0d,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:c1b10e35ea5c,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:cc1677c585bf,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:918a3fca45f1,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:c4533beb842e,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:54d12405c466,HAS_GLYCOSIDIC_BOND
dolphin::32824,bond:2c50aac98384,HAS_GLYCOSIDIC_BOND
dolphin::32825,bond:1931b27204fd,HAS_GLYCOSIDIC_BOND
dolphin::32825,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32825,bond:f379da5a552f,HAS_GLYCOSIDIC_BOND
dolphin::32826,bond:795c789abba0,HAS_GLYCOSIDIC_BOND
dolphin::32826,bond:c4533beb842e,HAS_GLYCOSIDIC_BOND
dolphin::32826,bond:cc1677c585bf,HAS_GLYCOSIDIC_BOND
