bond_id,bond_text_raw,bond_signature,anomericity,donor_residue,acceptor_position
bond:04f7be0fa1f9,"β-Glcp-(1→2,3,4)","β-Glcp-(1→2,3,4)",,,
bond:98293c8d4203,"α-Araf-(1→2,3,5)","α-Araf-(1→2,3,5)",,,
bond:8173ed5c105d,α-Rhap-(4→4),α-Rhap-(4→4),,,
bond:a073c3596ba2,"β-Xylp-(1→3,5)","β-Xylp-(1→3,5)",,,
bond:8fba4b0ffdf2,"α-Araf-(1→2,5)","α-Araf-(1→2,5)",,,
bond:515b386864b0,"α-Araf-(1→2,4)","α-Araf-(1→2,4)",,,
bond:e720bff3aa82,β-Rhap-(1→2),β-Rhap-(1→2),,,
bond:afcb57d93026,α-Xylp-(1→5),α-Xylp-(1→5),,,
bond:604e5274b07f,"β-Glcp-(1→1,4)","β-Glcp-(1→1,4)",,,
bond:1bdfce9e6e71,α-Xylp-(1→6),α-Xylp-(1→6),,,
bond:f37f66695cf2,β-Fucp-(1→4),β-Fucp-(1→4),,,
bond:50110affee54,α-Fucp-(1→4),α-Fucp-(1→4),,,
bond:86410a03475b,"α-Fucp-(1→3,4)","α-Fucp-(1→3,4)",,,
bond:754b5ec2f85e,α-Manp-(3→1),α-Manp-(3→1),,,
bond:3a9e93a55643,"α-Rhap-(1→2,3)","α-Rhap-(1→2,3)",,,
bond:49d108f64b89,"β-Galp-(1→2,3)","β-Galp-(1→2,3)",,,
bond:f69414b2bdae,β-GlcA-(1→5),β-GlcA-(1→5),,,
bond:ddf418e6615a,"β-Fucp-(1→3,4)","β-Fucp-(1→3,4)",,,
bond:c9ad9f965fd3,β-Xylp-(1→4),β-Xylp-(1→4),,,
bond:17e94e3f5d61,α-GalA-(1→2),α-GalA-(1→2),,,
bond:946c6b484b2f,α-Fucp-(1→6),α-Fucp-(1→6),,,
bond:24e8e2ea62c4,"β-Glcp-(6→1,4)","β-Glcp-(6→1,4)",,,
bond:dd9adce61c74,α-Glcp-(3→1),α-Glcp-(3→1),,,
bond:3597467d117b,α-Fucp-(3→1),α-Fucp-(3→1),,,
bond:00d370debb4c,α-Arap-(2→1),α-Arap-(2→1),,,
